"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
2;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
3;"C2,C1";"0603C";2;"0.1uF";;;
4;"U1";"SOICâˆ’8";1;"LM393";;;
5;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
6;"G***";"Logo-Front-Soldered-4mm";1;"LOGO";;;
7;",,,,,,,,,,,";"buzzardLabel";12;"";;;
8;"R2,R1";"0603R";2;"10k";;;
9;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
10;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
11;"R3";"0402R";1;"2k2";;;
12;"R4";"tc33x-2-103e";1;"tc33x-2-103e";;;
13;"D1";"0402LED";1;"purple";;;
14;"K3";"JST-SH_2pin_1mm_C145954";1;"JST-SH_2pin_1mm_C145954";;;
15;"G***";"Symbol-Front-Raining";1;"LOGO";;;
16;"K1";"HEADER_MALE_2X1";1;"HEADER_MALE_2X1";;;
17;"G***";"Symbol-Front-Water-Sensoric";1;"LOGO";;;
18;"G***";"Symbol-Front-Light";1;"LOGO";;;
19;"K2";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
20;"G***";"Symbol-Front-Flame";1;"LOGO";;;
